username,comment,link_video,publish_date,like_count,view_count
@lanamauanla9681,"cara Sheila merespon semua perasaan yang Vidi sampein tuh nunjukkin banget kalo dia anaknya word of affirmation, karna gua pribadi ngerasa emang cara paling bener buat merespon hal kaya gitu tuh ga dengan cara ngasih feedback template yang sama semacam ""aku juga..."" justru dengan dia merespon santai dan menanggapi dengan berbagai celetukannya yang memang dia sendiri itu menandakan kalo dia nyaman diberi afirmasi semacam itu dari Vidi, jadi lebih kerasa tulus dan engga dibuat-buat. How lucky you guys are to have each other! sehat selalu pasangan panutan gua!",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Dwv99mudah-maxwin,"Baru 1 menit nonton, tapi vibes-nya udah kayak ngobrol sama temen lama. BENER² NYAMAN PARAH",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@ams_belimbing_wuluhtika8886,Terhiburrr bangetttt pdhl lg sakitt tp kayak kena suntik semangattt sembuhnya luar biasa...,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@zoeyfhara,"Sheila emang bener2 tau banget vidi ya, tau gimana cara nge treat dan bikin Happy si vidi",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@Kuro-19,"njir podhub kali ini  auranya dunia berasa milik vidi dan shiela berdua 
Kita ngontrak udah .
Mereka ngga ada sweet2nya tapi kek ngeliat penganten Baru  auranya weiiiiii mereka kek kita kebagian senyum2 doang",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@irwanchandra9156,"Senang banget akhirnya Sheila Dara hadir di podhub, seru, lucu liat chemistry Vidi dan Sheila. Saya bukan pecinta film drama romantis, tpi akan saya tonton deh Sore. Sebagai apresiasi saya buat Vidi yang sudah mengijinkan Sheila Dara hadir di podhub demi promo filmnya.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@NoeNung-o2v,"Suka banget liat vidi sheila.Padahal interaksi mereka standar pasangan biasa aja,tapi bikin berbunga2 berdebar debar  jadinya.brasa nonton film romance.Aaaaa..suka banget.
Langgeng bahagia selalu kalian berdua ya",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@SITUS-AMANAH-GOOGLE-KYT4D,Semua pasangan harus saling percaya tidak boleh ada kebohongan apapun,https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@PromoTerbaik_Visi4D,"Ibu negara datang, Kak vidi di setiap detik berbunga bunga",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
@josisjacqueline9540,"Pas part yang mereka kasih tahu strength mereka masing2 saat dirumah/rumah tangga mereka itu bener2 so sweet dan sincere banget terasa. Apa lagi pas sheila nya ngeliatin vidi pas vidi cerita detail sheila, itu hal2 yang mungkin sbelumnya mereka saling ga tahu dan hanya tahu pas ditanya disini. Semoga vidi selalu sehat2 terus ya. Semoga pengobatan benar benar diberikan kemudahan sehingga selalu panjang umur. Kalau enggak video ini nanti jadi sedih kalau ditonton ulang.",https://www.youtube.com/watch?v=pz7Jyew3xUw&pp=ygULU0hFSUxBIERBUkE%3D,2025-07-12,198467,6704724
